자치구	합계(발생)	합계(검거)	살인(발생)	살인(검거)	강도(발생)	강도(검거)	강간강제추행(발생)	강간강제추행(검거)	절도(발생)	절도(검거)	폭력(발생)	폭력(검거)
종로구	4459	4298	6	5	12	14	238	1106	1940	1020	2263	2153
중구	4584	3068	3	3	8	7	198	148	2150	914	2225	1996
용산구	4137	2835	4	4	9	10	251	214	1489	599	2384	2008
성동구	3026	2392	4	5	3	5	104	78	1296	896	1619	1408
광진구	5322	3312	4	4	11	6	279	234	2636	1057	2392	2011
동대문구	4787	3623	5	5	10	12	190	158	1940	1071	2642	2377
중랑구	5041	3935	8	7	14	14	164	150	1691	1052	3164	2712
성북구	3744	2672	4	3	8	8	154	117	1470	725	2108	1819
강북구	4229	3323	7	6	5	4	217	159	1222	672	2778	2482
도봉구	2438	1930	3	3	5	5	123	121	866	492	1441	1309
노원구	4543	3021	5	6	6	9	159	142	1857	740	2516	2124
은평구	4501	3353	6	6	9	7	156	142	1666	890	2664	2308
서대문구	3665	2554	6	7	5	4	175	147	1503	752	1976	1644
마포구	5873	3771	4	4	4	7	399	320	2527	940	2939	2500
양천구	4112	2793	5	5	7	7	131	108	1719	755	2250	1918
강서구	5450	4097	9	10	10	10	275	239	1952	1070	3204	2768
구로구	5366	3744	9	9	10	13	273	181	1910	861	3164	2680
금천구	3645	2756	6	6	7	7	175	143	1264	654	2193	1946
영등포구	6322	4199	13	13	19	14	356	225	2341	940	3593	3007
동작구	3227	2160	8	6	7	7	325	149	1226	554	1661	1444
관악구	5678	3925	6	7	12	10	322	264	2103	937	3235	2707
서초구	4989	3422	5	5	13	10	428	271	2205	1107	2338	2029
강남구	8149	5905	5	5	39	42	516	413	3587	1918	4002	3527
송파구	6090	4060	9	8	15	12	234	184	2543	1048	3289	2808
강동구	4462	3273	4	5	14	13	160	152	1754	902	2530	2201
