범죄대분류,범죄중분류,범죄소분류,발생,검거,발생건수 대비 검거건수,검거인원(계),검거인원(남),검거인원(여),불상,법인체
강력범죄,살인기수,살인,38,38,100,43,40,3,-,-
강력범죄,살인기수,영아살해,2,3,150,3,-,3,-,-
강력범죄,살인기수,존속살해,3,2,66.7,2,2,-,-,-
강력범죄,살인기수,촉탁·승락살인,-,-,-,-,-,-,-,-
강력범죄,살인기수,자살교사·방조,4,4,100,4,3,1,-,-
강력범죄,살인기수,위계·위력·촉탁·승락살인,-,-,-,-,-,-,-,-
강력범죄,살인기수,특가법(보복살인등),-,-,-,-,-,-,-,-
강력범죄,살인미수등,살인,94,94,100,111,102,9,-,-
강력범죄,살인미수등,영아살해,-,-,-,1,1,-,-,-
강력범죄,살인미수등,존속살해,4,3,75,6,5,1,-,-
강력범죄,살인미수등,촉탁·승락살인,-,-,-,-,-,-,-,-
강력범죄,살인미수등,자살교사·방조,3,3,100,8,6,2,-,-
강력범죄,살인미수등,위계·위력·촉탁·승락살인,-,-,-,-,-,-,-,-
강력범죄,강도,강도,41,39,95.1,38,37,1,-,-
강력범죄,강도,준강도,41,37,90.2,38,34,4,-,-
강력범죄,강도,특수강도,83,81,97.6,172,138,24,10,-
강력범죄,강도,준특수강도,-,-,-,-,-,-,-,-
강력범죄,강도,강도상해·치상,85,83,97.6,144,130,8,6,-
강력범죄,강도,강도살인·치사,5,5,100,7,7,-,-,-
강력범죄,강도,해상강도(살인·치사·상해·치상),-,-,-,-,-,-,-,-
강력범죄,강도,인질강도,1,3,300,8,7,-,1,-
강력범죄,강도,강도강간,4,7,175,6,6,-,-,-
강력범죄,강도,(특수·인질·해상)강도(상습),1,1,100,1,1,-,-,-
강력범죄,강도,특가법(강도),1,1,100,1,1,-,-,-
강력범죄,강도,특가법(강도상해재범),-,-,-,-,-,-,-,-
강력범죄,강간,강간,494,477,96.6,494,486,5,3,-
강력범죄,강간,강간(상습),-,-,-,-,-,-,-,-
강력범죄,강간,준강간,317,299,94.3,320,315,2,3,-
강력범죄,강간,준강간(상습),-,-,-,-,-,-,-,-
강력범죄,강간,강간상해·치상,70,71,101.4,73,73,-,-,-
강력범죄,강간,강간살인·치사,2,2,100,2,2,-,-,-
강력범죄,강간,미성년자간음(심신미약자),1,1,100,-,-,-,-,-
강력범죄,강간,업무상위력에의한간음,4,3,75,3,3,-,-,-
강력범죄,강간,친족관계에의한강간,16,14,87.5,13,13,-,-,-
강력범죄,강간,장애인에대한강간·간음,35,28,80,39,38,-,1,-
강력범죄,강간,청소년에대한강간·간음,101,93,92.1,120,112,3,5,-
강력범죄,강간,미성년자의제강간,4,4,100,5,5,-,-,-
강력범죄,강간,13세미만미성년자강간·간음,7,6,85.7,6,6,-,-,-
강력범죄,강간,특수강간(준),43,40,93,98,95,1,2,-
강력범죄,강간,주거침입강간,30,27,90,34,34,-,-,-
강력범죄,강간,특수절도강간,-,-,-,-,-,-,-,-
강력범죄,강간,특수강도강간,7,7,100,5,5,-,-,-
강력범죄,강간,아동학대처벌법위반(상습강간·간음),-,-,-,-,-,-,-,-
강력범죄,유사강간,유사강간,75,67,89.3,69,68,1,-,-
강력범죄,유사강간,유사강간(상습),-,-,-,-,-,-,-,-
강력범죄,유사강간,준유사강간,17,14,82.4,16,16,-,-,-
강력범죄,유사강간,준유사강간(상습),-,-,-,-,-,-,-,-
