공원번호,공원명,전화번호,공원주소,지역
1,남산도시자연공원,02-3783-5900,서울특별시 중구 삼일대로 231(예장동),중구
3,길동생태공원,02-489-2770,서울특별시 강동구 천호대로 1291(길동생태공원) ,강동구
4,서울대공원,02-500-7032,경기도 과천시 대공원광장로 102,과천시
5,서울숲,02-460-2905 ,서울특별시 성동구 뚝섬로 273 (성수동1가) ,성동구
6,월드컵공원,02-300-5500,서울특별시 마포구 하늘공원로 84(월드컵공원),마포구
12,광화문시민열린마당,02-2148-2843,서울특별시 종로구 세종로 76-2,종로구
13,진관근린공원(구파발폭포),02-351-8004,서울특별시 은평구 진관동 393,은평구
16,중마루근린공원,02-2670-3717,서울특별시 영등포구 영등포동2가 222,영등포구
17,응봉공원,02-2293-7646,서울특별시 성동구 금호동1가 산1-72,성동구
18,매화근린공원,02-2600-4181,서울특별시 강서구 등촌동 630-14,강서구
19,성수근린공원,02-2286-5657,서울특별시 성동구 성수2가 3동 302-25,성동구
20,샛마을근린공원,02-3425-6444,서울특별시 강동구 명일1동 288,강동구
21,여의도근린공원,02-761-4078~9,서울특별시 영등포구 여의공원로 68 (여의도동),영등포구
22,간데메근린공원,02-2249-2770,서울특별시 동대문구 서울시립대로2길 59(간데메공원),동대문구
23,훈련원근린공원,02-3396-5894,서울특별시 중구 을지로 227,중구
24,영등포근린공원,02-2670-3716,서울특별시 영등포구 신길로 275,영등포구
25,보라매근린공원,02-2181-1191~1195,서울특별시 동작구 여의대방로20길 33(보라매공원),동작구
26,어린이대공원,02-450-9311,서울특별시 광진구 능동로 216(어린이대공원),광진구
27,천호근린공원,02-489-2776,서울특별시 강동구 올림픽로 702(천호공원),강동구
29,용산가족공원,02-792-5660,서울특별시 용산구 서빙고로 185,용산구
30,독립근린공원,02-364-4686,서울특별시 서대문구 통일로251(독립공원),서대문구
31,낙산근린공원,02-743-7985~6,서울특별시 종로구 낙산길 41 (우) 03085,종로구
32,양재시민의숲,02-575-3895,서울특별시 서초구 매헌로 99 (양재동),서초구
36,관악산도시자연공원,02-2627-1653,서울특별시 관악구 관악로 1(관악산공원),관악구
37,효창근린공원,02-2199-7608,서울특별시 용산구 효창원로 177-18,용산구
39,감로천생태공원(관악산),02)2627-2395~7,서울특별시 금천구 독산4동 371∼375 373일대,금천구
40,개운산근린공원,02-2241-3667,서울특별시 성북구 북악산로 949-73(돈암동 6-1),성북구
41,개웅산근린공원,02-860-3086,서울특별시 구로구 오류동 산13-1,구로구
45,경희궁,02-2148-4144,서울특별시 종로구 새문안로 55(신문로2가 2-1),종로구
46,국립현충원,02-826-6235,서울특별시 동작구 사당2동 산41-2,동작구
47,계남근린공원,02-2620-3575,서울특별시 양천구 신정동 산44-2일대,양천구
48,고척근린공원,02-860-3086,서울특별시 구로구 고척로45길 39(고척공원),구로구
51,파리근린공원,02-2620-3576,서울특별시 양천구 목동동로 363 ,양천구
52,허준공원,02-2600-4186,서울특별시 강서구 허준로5길 42,강서구
53,궁동근린공원,02-330-1961,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,서대문구
54,궁산근린공원,02-2600-4185,서울특별시 강서구 가양동 산4-7,강서구
55,까치산근린공원,02-820-1396,서울특별시 동작구 사당동 산32,동작구
56,꿩고개근린공원,02-2600-4186,서울특별시 강서구 방화동 산110,강서구
57,노량진공원,02-820-9845,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),동작구
58,답십리근린공원,02-2127-4398,서울특별시 동대문구 답십리로 209(답십리공원) ,동대문구
59,대모산도시자연공원,02-3423-6283,서울특별시 강남구 광평로10길 30-71(대모산공원) ,강남구
60,탑골근린공원,02-2148-2843,서울특별시 종로구 종로 99,종로구
61,갈산근린공원,02-2620-3574,서울특별시 양천구 신정동 162-56,양천구
65,천마근린공원,02-400-0978,서울특별시 송파구 마천동 산 1-1,송파구
66,도곡근린공원,02-3423-6248,서울특별시 강남구 도곡동 산31-1,강남구
68,도산근린공원,02-3423-6244,서울특별시 강남구 도산대로45길 20(도산공원),강남구
69,청량공원,02-2241-3683,서울특별시 성북구 화랑로18가길 50,성북구
70,초안산근린공원,02-2091-3754,서울특별시 도봉구 창동 산157,도봉구
71,동명근린공원,02-3425-6444,서울특별시 강동구 고덕2동 229,강동구
72,마로니에공원,02-2148-4158,서울특별시 종로구 대학로8길 1,종로구
73,자매근린공원,02-2670-3758,서울특별시 영등포구 의사당대로 166 (우) 07324,영등포구
75,장지근린공원,02-400-0978,서울특별시 송파구 장지동 산 11번지,송파구
76,명일근린공원,02-3425-6444,서울특별시 강동구 상일동 135,강동구
80,방화근린공원,02-2600-4186,서울특별시 강서구 금낭화로 176(방화공원),강서구
81,아시아근린공원,02-412-0270,서울특별시 송파구 올림픽로 44 (잠실동),송파구
82,배봉산근린공원,02-2127-4398,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,동대문구
83,안산도시자연공원,02-330-1958,서울특별시 서대문구 홍제동 산33-98,서대문구
85,염창근린공원,02-2600-4186,서울특별시 강서구 염창동 산24-1,강서구
86,백련근린공원,02-330-1776,서울특별시 서대문구 통일로 507-22(백련공원) ,서대문구
87,오금근린공원,02-400-0978,서울특별시 송파구 오금로 363 오금근린공원 ,송파구
89,오동근린공원,02-901-6923,서울특별시 강북구 번동 산20-1,강북구
90,봉산도시자연공원,02-351-8003,서울특별시 은평구 구산동 산61,은평구
91,온수도시자연공원,02-860-2396,서울특별시 구로구 개봉동 산2-60,구로구
92,봉은공원,02-2104-1902,서울특별시 강남구 삼성동 75,강남구
93,올림픽공원,02-410-1114,서울특별시 송파구 올림픽로 424 (방이동),송파구
94,와룡근린공원,02-2148-4150,서울특별시 종로구 와룡공원길 192 (우) 03063,종로구
95,봉화산근린공원,02-435-0069,서울특별시 중랑구 묵동 산46-1,중랑구
96,북악산도시자연공원,02-2148-2843,서울특별시 종로구 부암동 산2-6,종로구
98,북한산국립공원,02-2148-2834,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,강북구
99,외국인묘지공원,02-3153-9554,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구
100,불광근린공원,02-351-8004,서울특별시 은평구 불광동 산33-1,은평구
101,불암산도시자연공원,02-2116-3943,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,노원구
102,용마폭포공원,02-2094-2965,서울특별시 중랑구 면목동 산1-4 ,중랑구
103,사육신공원,02-820-9844,서울특별시 동작구 노량진로 191,동작구
104,용왕산근린공원,02-2620-3574,서울특별시 양천구 목동 199-51,양천구
106,사직근린공원,02-2148-2834,서울특별시 종로구 사직로9길 5,종로구
107,우장산근린공원,02-2600-4185,서울특별시 강서구 내발산동 산4-5,강서구
108,삼일근린공원,02-820-9845,서울특별시 동작구 사당동 산24-17,동작구
109,삼청근린공원,02-2148-4150,서울특별시 종로구 북촌로 134-1 (우) 03050,종로구
110,인왕산도시자연공원,02-2148-2834,서울특별시 종로구 옥인동 산 3-1 ,종로구
111,상도근린공원,02-820-1396,서울특별시 동작구 성대로6사길 27-6(상도공원) ,동작구
112,일자산도시자연공원,02-3425-6443,서울특별시 강동구 동남로 660(일자산공원),강동구
114,쌍문근린공원,02-2091-3754,서울특별시 도봉구 쌍문동 산80,도봉구
117,수락산도시자연공원,02-2116-3966 ,서울특별시 노원구 상계동 산3-1,노원구
118,송파나루근린공원(석촌호수),02-400-3595,서울특별시 송파구 잠실로 148 (잠실동) ,송파구
119,선유도근린공원,02-2631-9368,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,영등포구
120,손기정체육공원,02-3396-5894,서울특별시 중구 손기정로 101 ,중구
122,성북근린공원,02-2241-3683,서울특별시 성북구 돈암동 616-1055,성북구
123,봉제산공원,02-2600-4184,서울특별시 강서구 화곡동 산41-6,강서구
124,서울창포원,02-954-0031,서울특별시 도봉구 마들로 916(서울창포원) ,도봉구
125,북서울꿈의숲,02-2289-4000~5,서울특별시 강북구 월계로 173,강북구
127,서서울호수공원,02-2604-3004 ,서울특별시 양천구 남부순환로64길 20 (신월동),양천구
128,중랑캠핑숲,02-434-4371(중랑캠핑숲)/02-432-2567(청소년체험의숲),서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),중랑구
1001,솔밭근린공원,02-901-6939,서울특별시 강북구 우이동 80번지 일대,강북구
1002,금천체육공원(관악산),02-2627-1664 ,서울특별시 금천구 독산동 산118-4(금천체육공원),금천구
1003,금천폭포근린공원,02-2627-1652 ~ 7,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),금천구
1004,만수천공원(관악산),02-2627-1662~6,서울특별시 금천구 독산동 산8 일대,금천구
1005,발바닥공원,02-2091-3772,서울특별시 도봉구 시루봉로6길 33,도봉구
1006,월천근린공원,02-2091-3756,서울특별시 도봉구 창동 28번지,도봉구
1007,용두근린공원,02-2127-4772,서울특별시 동대문구 용두동 34-1번지 일대,동대문구
1008,상암근린공원,02-3153-9553,서울특별시 마포구 상암동 1761,마포구
1009,와우근린공원,02-3153-9553,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),마포구
1010,금호근린공원,02-2286-5657,서울특별시 성동구 장터1길 18,성동구
1011,달맞이근린공원,02-2286-5657,서울특별시 성동구 옥수동 산1-1,성동구
1012,문정근린공원,02-400-0978,서울특별시 송파구 문정동 18-4,송파구
1014,문화예술공원,02-2155-8601,서울특별시 서초구 바우뫼로12길 40 (양재동),서초구
1328,세종로공원,02-2148-2843 ,서울특별시 종로구 세종대로 189 (우) 03172,종로구
1329,샘말공원(관악산),02-879-6523,서울특별시 관악구 대학동 산63-1일대 샘말공원,관악구
1338,초안산생태공원,02-2091-3754,서울특별시 도봉구 창동 산24,도봉구
1348,푸른수목원,02-2686-3200,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,구로구
1357,서오능도시자연공원,02-351-8003,서울특별시 은평구 구파발동 갈현동 진관내동,은평구
1360,청계산도시자연공원,02-2155-6870,서울특별시 서초구 원지동 산 33,서초구
1362,개화근린공원,02-2600-4183,서울특별시 강서구 개화동 산17,강서구
1364,아차산생태공원,02-450-1192,서울특별시 광진구 광장동 370,광진구
1365,인능산도시자연공원,02-2155-6873,서울특별시 서초구 내곡동 산12-404,서초구
1366,구룡산,02-2155-6869,서울특별시 서초구 염곡동 산25-1,서초구
1367,우면산도시자연공원,02-2155-6883,서울특별시 서초구 우면동 산35-1,서초구
1368,향림근린공원,02-351-8002,서울특별시 은평구 진관동 산55,은평구
1369,신사근린공원,02-351-8004,서울특별시 은평구 신사동 산80-4,은평구
1370,문화역 서울284,02-3407-3500,서울특별시 중구 통일로 1 서울역,중구
1371,광평근린공원,02-3423-6243,서울특별시 강남구 수서동 산10-1,강남구
1372,청담근린공원,02-3423-6244,서울특별시 강남구 청담동 66,강남구
1373,허브천문공원,02-3425-6454,서울특별시 강동구 둔촌동 산94,강동구
1374,연신내물빛공원,02-351-8012,서울특별시 은평구 통일로 849,은평구
